,id,duration_ms,key,liveness,mode,explicit
0,3qQbCzHBycnDpGskqOWY0E,165671,5,0.0837,0,False
1,7ro0hRteUMfnOioTFI5TG1,231704,9,0.112,0,True
2,2UW7JaomAMuX9pZrjVpHAU,234353,2,0.0756,0,True
3,7FbrGaHYVDmfr7KoLIZnQ7,174253,11,0.347,0,False
4,6pD0ufEQq0xdHSsRbg9LBK,194563,6,0.27,0,False
5,4DHcnVTT87F0zZhRPYmZ3B,200455,0,0.0322,1,False
6,1odExI7RdWc4BT515LTAwj,212954,2,0.093,0,False
7,1Qrg8KqiBpW07V7PNxwwwL,153947,8,0.161,1,False
8,4Dvkj6JhhA12EX05fT7y2e,167303,6,0.311,0,False
9,0DWdj2oZMBFSzRsi2Cvfzf,199440,4,0.0936,0,True
10,6XSqqQIy7Lm7SnwxS4NrGx,195987,11,0.12,1,True
11,368eeEO3Y2uZUQ6S5oIjcu,157252,5,0.106,0,True
12,0V3wPSX9ygBnCm8psDIegu,200690,4,0.142,1,False
13,1s7oOCT8vauUh01PbJD6ps,239318,11,0.171,1,False
14,2dHHgzDwk4BJdRwy9uXhTO,221520,1,0.0822,0,True
15,4W4fNrZYkobj539TOWsLO2,232857,1,0.335,0,False
16,1vvcEHQdaUTvWt0EIUYcFK,175802,10,0.152,0,False
17,7KA4W4McWYRpgf0fWsJZWB,180387,6,0.109,1,True
18,1daDRI9ahBonbWD8YcxOIB,196453,5,0.1,1,False
19,7K3BhSpAxZBznislvUMVtn,163855,6,0.142,1,True
20,609E1JCInJncactoMmkDon,194543,5,0.173,0,False
21,1haJsMtoBhHfvuM7XWuT3W,187226,9,0.0986,0,False
22,5XeFesFbtLpXzIVDNQP22n,183956,0,0.0974,0,False
23,6T7FXSuXykeGktMLGp8WgE,223879,3,0.135,1,True
24,2LBqCSwhJGcFQeTHMVGwy3,260253,1,0.134,0,False
25,4FAKtPVycI4DxoOHC01YqD,216148,6,0.1,0,True
26,7txjUEY6McJDJKqIo1Rxjp,170786,11,0.099,1,False
27,6AQbmUe0Qwf5PZnt4HmTXv,131013,5,0.248,1,True
28,6GGtHZgBycCgGBUhZo81xe,209156,6,0.114,0,False
29,1BxfuPKGuaTgP7aM0Bbdwr,178427,9,0.105,1,False
30,4uUG5RXrOk84mYEfFvj3cK,175238,7,0.371,0,True
31,78Sw5GDo6AlGwTwanjXbGh,242485,4,0.128,1,False
32,3xYJScVfxByb61dYHTwiby,234467,5,0.296,1,True
33,2mpoNBkngUEwnaKoBhZ0vl,184066,7,0.123,0,True
34,26b3oVLrRUaaybJulow9kz,184791,10,0.102,0,False
35,4fYte8ZvTK14NEhAOZocBi,148120,0,0.0614,1,False
36,1vYXt7VSjH9JIM5oRRo7vA,176579,11,0.329,0,False
37,0JmnkIqdlnUzPaf8sqBRs3,187723,7,0.25,0,False
38,1DmW5Ep6ywYwxc2HMT5BG6,183375,3,0.123,0,False
39,7jtQIBanIiJOMS6RyCx6jZ,244360,4,0.09,0,True
40,5odlY52u43F5BjByhxg7wg,209260,4,0.25,1,False
41,1Y3LN4zO1Edc2EluIoSPJN,176440,10,0.202,1,False
42,7MXVkk9YMctZqd1Srtv4MB,230453,7,0.137,1,True
43,3Ua0m0YmEjrMi9XErKcNiR,212241,7,0.357,1,False
44,1lRtH4FszTrwwlK5gTSbXO,174943,11,0.274,0,True
45,3AJwUDP919kvQ9QcozQPxg,266773,11,0.234,1,False
46,2VzCjpKvPB1l1tqLndtAQa,239845,0,0.0735,1,False
47,3tt9i3Hhzq84dPS8H7iSiJ,162638,7,0.218,0,False
48,0NZPBYD5qbEWRs3PrGiRkT,156943,2,0.301,1,False
49,4nrPB8O7Y7wsOCJdgXkthe,218289,2,0.0915,0,False
50,1u8c2t2Cy7UBoG4ArRcF5g,231827,5,0.0913,1,False
51,1zsPaEkglFvxjAhrM8yhpr,196600,1,0.0992,0,False
52,4JdSXF2p71cr8uCY3UiJM0,160518,6,0.112,1,False
53,4zmKGsrXjLmljb5fTaBTot,229943,6,0.108,0,True
54,0PB0O24JqAuNdOAFVJljMS,160325,2,0.0963,1,True
55,0VjIjW4GlUZAMYd2vXMi3b,200040,1,0.0897,1,False
